name,description,vote
AAA,N/A,3.75
"E.T. the Extra-Terrestrial","A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.",10
"Arthur et la vengeance de Maltazard","Arthur answers a distress call from Princess Selenia, who is menaced by the nefarious Maltazard.",10
"The Hunt for Red October","In November 1984, the Soviet Union's best submarine captain, in a new undetectable sub, violates orders and heads for the U.S. The American CIA and military must quickly determine: Is he trying to defect, or to start a war?",10
Madagascar,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.",7
"Ice Age","The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat.",5
Cars,"A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",5
"The Hobbit: An Unexpected Journey","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",10
"Star Wars: Episode IV - A New Hope","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vad",5
"This is a Test","A man from another dimension falls from the sky over and over again. He is looking for an answer. His hand guides him through our world, taking him and his pet sea monkeys to churches, forests, and beaches. The man experiences death ",5
